,School District Code,School District Tested,District Average Score,District Number Tested
0,601,Appling County,1002.0,78
1,602,Atkinson County,952.0,57
2,603,Bacon County,1019.0,49
3,605,Baldwin County,915.0,122
4,606,Banks County,1055.0,53
5,607,Barrow County,983.0,385
6,608,Bartow County,1035.0,309
7,609,Ben Hill County,937.0,90
8,610,Berrien County,1002.0,76
9,611,Bibb County,933.0,663
10,612,Bleckley County,1087.0,57
11,613,Brantley County,1041.0,71
12,614,Brooks County,947.0,33
13,615,Bryan County,1063.0,318
14,616,Bulloch County,1043.0,168
15,617,Burke County,969.0,104
16,618,Butts County,951.0,80
17,619,Calhoun County,888.0,22
18,620,Camden County,1048.0,201
19,621,Candler County,998.0,55
20,622,Carroll County,1022.0,332
21,623,Catoosa County,1129.0,38
22,624,Charlton County,989.0,34
23,625,Savannah-Chatham County,982.0,988
24,626,Chattahoochee County,994.0,21
25,627,Chattooga County,986.0,32
26,628,Cherokee County,1096.0,1161
27,629,Clarke County,957.0,386
28,631,Clayton County,947.0,1171
29,632,Clinch County,982.0,34
30,633,Cobb County,1079.0,3830
31,634,Coffee County,1006.0,161
32,635,Colquitt County,986.0,178
33,636,Columbia County,1085.0,990
34,637,Cook County,999.0,62
35,638,Coweta County,1057.0,512
36,639,Crawford County,1010.0,29
37,640,Crisp County,994.0,102
38,641,Dade County,1017.0,14
39,642,Dawson County,1034.0,101
40,643,Decatur County,956.0,77
41,644,DeKalb County,969.0,2897
42,645,Dodge County,991.0,63
43,646,Dooly County,975.0,12
44,647,Dougherty County,916.0,425
45,648,Douglas County,986.0,784
46,649,Early County,987.0,59
47,650,Echols County,959.0,15
48,651,Effingham County,1072.0,271
49,652,Elbert County,1008.0,58
50,653,Emanuel County,1012.0,76
51,654,Evans County,1038.0,35
52,655,Fannin County,1061.0,78
53,656,Fayette County,1111.0,793
54,657,Floyd County,1047.0,112
55,658,Forsyth County,1133.0,1543
56,659,Franklin County,993.0,82
57,660,Fulton County,1036.0,3990
58,661,Gilmer County,1021.0,133
59,662,Glascock County,1027.0,19
60,663,Glynn County,1040.0,268
61,664,Gordon County,997.0,162
62,665,Grady County,974.0,108
63,666,Greene County,956.0,26
64,667,Gwinnett County,1069.0,6750
65,668,Habersham County,1029.0,207
66,669,Hall County,1024.0,694
67,670,Hancock County,822.0,23
68,672,Harris County,1043.0,78
69,673,Hart County,959.0,84
70,674,Heard County,1000.0,27
71,675,Henry County,994.0,1212
72,676,Houston County,1042.0,746
73,677,Irwin County,962.0,36
74,678,Jackson County,1052.0,179
75,679,Jasper County,998.0,79
76,680,Jeff Davis County,969.0,61
77,681,Jefferson County,906.0,64
78,682,Jenkins County,999.0,18
79,683,Johnson County,950.0,33
80,684,Jones County,1031.0,134
81,685,Lamar County,950.0,71
82,686,Lanier County,965.0,37
83,687,Laurens County,1017.0,167
84,688,Lee County,1041.0,172
85,689,Liberty County,977.0,246
86,690,Lincoln County,1016.0,47
87,691,Long County,951.0,90
88,692,Lowndes County,1058.0,255
89,693,Lumpkin County,1089.0,84
90,694,Macon County,937.0,18
91,695,Madison County,1065.0,126
92,696,Marion County,973.0,36
93,697,McDuffie County,948.0,115
94,698,McIntosh County,957.0,25
95,699,Meriwether County,918.0,20
96,700,Miller County,951.0,30
97,701,Mitchell County,966.0,64
98,702,Monroe County,1061.0,117
99,703,Montgomery County,955.0,12
100,704,Morgan County,1012.0,112
101,705,Murray County,968.0,159
102,706,Muscogee County,1028.0,650
103,707,Newton County,972.0,450
104,708,Oconee County,1132.0,318
105,709,Oglethorpe County,1016.0,51
106,710,Paulding County,1025.0,974
107,711,Peach County,963.0,68
108,712,Pickens County,1054.0,129
109,713,Pierce County,1080.0,61
110,714,Pike County,1022.0,109
111,715,Polk County,1013.0,139
112,716,Pulaski County,990.0,17
113,717,Putnam County,1062.0,14
114,719,Rabun County,1009.0,67
115,720,Randolph County,850.0,18
116,721,Richmond County,961.0,653
117,722,Rockdale County,971.0,681
118,723,Schley County,1014.0,36
119,724,Screven County,1002.0,48
120,725,Seminole County,969.0,41
121,726,Griffin-Spalding County,959.0,278
122,727,Stephens County,1032.0,105
123,728,Stewart County,880.0,19
124,729,Sumter County,914.0,95
125,730,Talbot County,897.0,10
126,732,Tattnall County,988.0,96
127,733,Taylor County,934.0,56
128,734,Telfair County,908.0,37
129,735,Terrell County,912.0,21
130,736,Thomas County,980.0,123
131,737,Tift County,984.0,177
132,738,Toombs County,976.0,68
133,739,Towns County,1091.0,27
134,740,Treutlen County,976.0,33
135,741,Troup County,1024.0,269
136,742,Turner County,971.0,15
137,743,Twiggs County,846.0,25
138,744,Union County,1076.0,103
139,745,Thomaston-Upson County,973.0,121
140,746,Walker County,1147.0,22
141,747,Walton County,1024.0,403
142,748,Ware County,1006.0,123
143,749,Warren County,954.0,12
144,750,Washington County,899.0,92
145,751,Wayne County,1021.0,152
146,752,Webster County,997.0,13
147,753,Wheeler County,949.0,37
148,754,White County,1045.0,91
149,755,Whitfield County,1015.0,252
150,756,Wilcox County,1079.0,11
151,757,Wilkes County,920.0,63
152,758,Wilkinson County,975.0,33
153,759,Worth County,958.0,70
154,761,Atlanta Public Schools,964.0,1152
155,763,Bremen City,1042.0,73
156,764,Buford City,1112.0,168
157,765,Calhoun City,1026.0,94
158,766,Carrollton City,1033.0,196
159,767,Cartersville City,1074.0,85
160,769,Chickamauga City,1150.0,13
161,771,Commerce City,1024.0,56
162,772,Dalton Public Schools,958.0,250
163,773,Decatur City,1139.0,185
164,774,Dublin City,871.0,133
165,776,Gainesville City,971.0,203
166,779,Jefferson City,1103.0,119
167,781,Marietta City,1040.0,200
168,784,Pelham City,972.0,43
169,785,Rome City,1038.0,173
170,786,Social Circle City,1036.0,52
171,789,Thomasville City,1080.0,66
172,791,Trion City,1085.0,15
173,792,Valdosta City,984.0,196
174,793,Vidalia City,1019.0,61
